date,temp_max,humidity_mean,wind_speed,precipitation,days_since_rain,area
2010-01-01,18.7,58,8.3,0.0,1,0.0
2010-01-02,17.2,58,6.5,0.0,2,0.0
2010-01-03,13.9,71,10.1,0.0,3,0.0
2010-01-04,15.9,72,12.6,0.0,4,0.0
2010-01-05,18.6,64,9.7,0.0,5,0.0
2010-01-06,18.4,57,7.0,0.0,6,0.0
2010-01-07,17.4,68,6.9,0.0,7,0.0
2010-01-08,18.5,69,8.1,0.0,8,0.0
2010-01-09,18.6,56,9.9,0.0,9,0.0
2010-01-10,18.7,53,12.5,0.0,10,0.0
2010-01-11,18.1,56,11.4,0.0,11,0.0
2010-01-12,17.1,55,6.6,0.0,12,0.0
2010-01-13,15.1,69,7.4,0.0,13,0.0
2010-01-14,16.5,69,11.0,0.0,14,0.0
2010-01-15,19.6,62,9.1,0.0,15,0.0
2010-01-16,20.2,53,9.3,0.0,16,0.0
2010-01-17,19.0,56,8.0,0.0,17,0.0
2010-01-18,18.8,69,8.1,0.0,18,0.0
2010-01-19,19.6,62,10.5,0.0,19,0.0
2010-01-20,20.3,54,9.7,0.0,20,0.0
2010-01-21,20.7,56,11.6,0.0,21,0.0
2010-01-22,17.8,58,7.1,0.2,22,0.0
2010-01-23,21.3,54,10.5,0.0,23,0.0
2010-01-24,19.9,60,11.8,0.0,24,0.0
2010-01-25,20.5,55,9.7,0.0,25,0.0
2010-01-26,20.9,54,8.7,0.0,26,0.0
2010-01-27,18.9,53,8.7,0.1,27,0.0
2010-01-28,17.7,67,12.0,8.9,0,0.0
2010-01-29,12.5,85,17.4,28.7,0,0.0
2010-01-30,17.4,68,12.3,0.0,1,0.0
2010-01-31,17.4,61,6.5,0.0,2,0.0
2010-02-01,17.0,67,5.0,0.0,3,0.0
2010-02-02,17.5,61,9.7,0.0,4,0.0
2010-02-03,18.2,56,10.2,0.0,5,0.0
2010-02-04,18.9,56,11.1,0.0,6,0.0
2010-02-05,13.5,74,13.7,7.7,0,0.0
2010-02-06,15.5,82,9.2,8.6,0,0.0
2010-02-07,14.7,85,12.3,20.8,0,0.0
2010-02-08,12.3,92,31.0,61.0,0,0.0
2010-02-09,11.3,91,16.2,31.3,0,0.0
2010-02-10,15.1,65,12.7,0.0,1,0.0
2010-02-11,16.0,64,8.8,0.0,2,0.0
2010-02-12,15.7,69,10.7,0.2,3,0.0
2010-02-13,16.7,64,8.4,0.0,4,0.0
2010-02-14,16.0,72,15.0,5.2,0,0.0
2010-02-15,12.6,85,19.4,46.3,0,0.0
2010-02-16,15.4,68,13.7,0.8,1,0.0
2010-02-17,17.6,57,13.6,0.0,2,0.0
2010-02-18,18.3,56,11.8,0.0,3,0.0
2010-02-19,19.1,58,8.2,0.0,4,0.0
2010-02-20,21.4,59,9.8,0.0,5,0.0
2010-02-21,22.5,61,10.3,0.0,6,0.0
2010-02-22,21.5,65,7.4,0.0,7,0.0
2010-02-23,21.0,68,11.1,0.0,8,0.0
2010-02-24,20.5,73,12.1,1.1,0,0.0
2010-02-25,18.0,77,11.7,4.3,0,0.0
2010-02-26,16.1,75,12.9,13.9,0,0.0
2010-02-27,21.3,71,10.8,9.2,0,0.0
2010-02-28,20.0,69,10.8,4.2,0,0.0
2010-03-01,15.7,80,16.3,13.0,0,0.0
2010-03-02,22.1,64,11.2,0.0,1,0.0
2010-03-03,16.5,68,12.3,3.2,0,0.0
2010-03-04,17.4,72,10.0,2.5,0,0.0
2010-03-05,20.8,71,9.5,0.0,1,0.0
2010-03-06,18.4,69,10.0,2.7,0,0.0
2010-03-07,21.0,68,9.5,0.0,1,0.0
2010-03-08,22.5,68,12.4,0.0,2,0.0
2010-03-09,23.2,65,12.3,0.0,3,0.0
2010-03-10,24.4,64,8.9,0.0,4,0.0
2010-03-11,24.6,61,9.5,0.0,5,0.0
2010-03-12,24.8,64,9.2,0.0,6,0.0
2010-03-13,25.3,61,11.3,0.0,7,0.0
2010-03-14,25.9,60,14.5,0.0,8,0.0
2010-03-15,26.8,59,10.4,0.0,9,0.0
2010-03-16,27.5,64,7.0,0.0,10,0.0
2010-03-17,27.4,66,8.3,0.0,11,0.0
2010-03-18,28.3,62,10.2,0.0,12,0.0
2010-03-19,28.6,63,10.4,0.0,13,0.0
2010-03-20,29.7,65,9.3,0.0,14,0.0
2010-03-21,28.9,68,7.3,0.6,15,0.0
2010-03-22,29.1,57,13.0,0.0,16,0.0
2010-03-23,29.1,56,16.9,0.7,17,0.0
2010-03-24,30.1,44,13.6,0.0,18,0.0
2010-03-25,30.3,49,12.6,0.0,19,0.0
2010-03-26,28.8,54,18.1,1.9,0,0.0
2010-03-27,28.6,49,13.5,0.0,1,0.0
2010-03-28,29.7,48,11.5,0.0,2,0.0
2010-03-29,27.5,52,12.7,1.3,0,0.0
2010-03-30,26.8,57,19.1,2.9,0,0.0
2010-03-31,27.4,49,12.0,0.0,1,0.0
2010-04-01,26.3,48,13.6,0.9,2,0.0
2010-04-02,26.7,47,15.4,0.7,3,0.0
2010-04-03,26.9,48,13.5,0.8,4,0.0
2010-04-04,27.9,45,15.3,0.3,5,0.0
2010-04-05,28.3,41,13.6,0.3,6,0.0
2010-04-06,29.2,40,16.7,0.0,7,0.0
2010-04-07,31.3,40,12.6,0.0,8,0.0
2010-04-08,32.1,41,12.9,0.0,9,0.0
2010-04-09,31.9,40,15.3,1.1,0,0.0
2010-04-10,32.5,42,11.6,0.0,1,0.0
2010-04-11,32.9,42,15.1,3.2,0,0.0
2010-04-12,28.9,48,16.0,0.4,1,0.0
2010-04-13,31.9,43,13.9,0.0,2,0.0
2010-04-14,33.9,38,12.1,0.0,3,0.0
2010-04-15,34.8,34,12.0,0.0,4,0.0
2010-04-16,35.4,34,13.2,0.4,5,0.0
2010-04-17,35.6,35,15.3,0.0,6,0.0
2010-04-18,33.5,40,18.7,2.1,0,0.0
2010-04-19,32.0,45,16.9,1.5,0,0.0
2010-04-20,28.8,49,23.7,0.8,1,0.0
