date,temp_max,humidity_mean,wind_speed,precipitation,rain_7d_sum,rain_14d_sum,FLOODS
2010-01-01,20.4,60,10.5,0.0,0.0,0.0,0
2010-01-02,18.1,65,8.0,0.0,0.0,0.0,0
2010-01-03,17.3,72,9.8,0.2,0.2,0.2,0
2010-01-04,18.6,68,15.4,0.0,0.2,0.2,0
2010-01-05,19.5,65,10.8,0.0,0.2,0.2,0
2010-01-06,18.6,69,8.5,0.0,0.2,0.2,0
2010-01-07,18.2,76,8.7,0.0,0.2,0.2,0
2010-01-08,20.6,70,9.9,0.0,0.2,0.2,0
2010-01-09,20.6,64,10.5,0.0,0.2,0.2,0
2010-01-10,20.9,63,10.8,0.0,0.0,0.2,0
2010-01-11,19.7,61,12.0,0.0,0.0,0.2,0
2010-01-12,16.9,67,6.3,0.0,0.0,0.2,0
2010-01-13,15.6,77,8.0,1.0,1.0,1.2,0
2010-01-14,18.9,68,13.2,0.0,1.0,1.2,0
2010-01-15,20.7,63,9.4,0.0,1.0,1.2,0
2010-01-16,21.9,61,12.1,0.0,1.0,1.2,0
2010-01-17,19.6,69,9.4,0.0,1.0,1.0,0
2010-01-18,20.2,74,9.4,0.0,1.0,1.0,0
2010-01-19,21.3,72,8.6,0.0,1.0,1.0,0
2010-01-20,22.2,62,9.0,0.0,0.0,1.0,0
2010-01-21,22.3,65,10.5,0.0,0.0,1.0,0
2010-01-22,18.7,71,8.0,0.0,0.0,1.0,0
2010-01-23,22.9,65,9.0,0.0,0.0,1.0,0
2010-01-24,22.1,65,8.7,0.0,0.0,1.0,0
2010-01-25,22.9,64,8.3,0.0,0.0,1.0,0
2010-01-26,23.2,58,10.2,0.0,0.0,1.0,0
2010-01-27,22.4,59,9.1,0.0,0.0,0.0,0
2010-01-28,21.2,68,11.9,4.2,4.2,4.2,0
2010-01-29,15.5,80,16.2,27.5,31.7,31.7,0
2010-01-30,20.5,64,12.1,0.0,31.7,31.7,0
2010-01-31,19.2,62,6.8,0.0,31.7,31.7,0
2010-02-01,19.2,70,9.5,0.1,31.8,31.8,0
2010-02-02,20.9,58,11.2,0.0,31.8,31.8,0
2010-02-03,21.4,56,10.2,0.0,31.8,31.8,0
2010-02-04,21.9,56,11.9,0.0,27.6,31.8,0
2010-02-05,18.4,69,13.6,7.7,7.8,39.5,0
2010-02-06,20.1,77,9.2,5.5,13.3,45.0,0
2010-02-07,18.2,76,12.8,8.2,21.5,53.2,0
2010-02-08,15.3,84,31.8,32.9,54.3,86.1,0
2010-02-09,14.6,88,25.9,28.2,82.5,114.3,0
2010-02-10,18.0,65,10.7,0.0,82.5,114.3,0
2010-02-11,18.5,65,8.8,0.0,82.5,110.1,0
2010-02-12,18.5,68,14.2,0.0,74.8,82.6,0
2010-02-13,19.9,66,9.0,0.3,69.6,82.89999999999999,0
2010-02-14,19.5,72,14.8,4.5,65.89999999999999,87.39999999999999,0
2010-02-15,18.6,75,23.1,30.7,63.7,118.0,0
2010-02-16,19.2,70,11.7,1.7,37.199999999999996,119.7,0
2010-02-17,21.2,57,12.8,0.0,37.2,119.7,0
2010-02-18,20.8,56,12.1,0.0,37.2,119.7,0
2010-02-19,20.9,61,12.4,0.0,37.2,112.0,0
2010-02-20,23.6,60,12.2,0.0,36.9,106.5,0
2010-02-21,24.9,62,12.4,0.0,32.4,98.3,0
2010-02-22,23.7,71,8.0,0.0,1.7,65.4,0
2010-02-23,22.4,79,9.7,0.5,0.5,37.699999999999996,0
2010-02-24,23.2,72,10.0,3.7,4.2,41.400000000000006,0
2010-02-25,22.6,73,12.8,0.0,4.2,41.400000000000006,0
2010-02-26,20.6,75,13.5,12.5,16.7,53.900000000000006,0
2010-02-27,25.0,69,12.3,3.5,20.2,57.1,0
2010-02-28,23.7,66,13.6,2.9,23.099999999999998,55.5,0
2010-03-01,21.2,73,14.5,10.8,33.9,35.6,0
2010-03-02,25.7,60,12.9,0.0,33.4,33.9,0
2010-03-03,19.3,69,17.5,3.5,33.2,37.4,0
2010-03-04,20.6,76,11.0,9.2,42.4,46.599999999999994,0
2010-03-05,24.1,66,10.0,0.1,30.0,46.699999999999996,0
2010-03-06,20.3,70,13.7,2.7,29.2,49.4,0
2010-03-07,23.7,67,10.1,0.1,26.400000000000002,49.5,0
2010-03-08,25.6,64,11.2,0.0,15.6,49.5,0
2010-03-09,26.3,63,12.1,0.0,15.6,49.0,0
2010-03-10,27.3,62,9.5,0.0,12.1,45.300000000000004,0
2010-03-11,27.7,62,9.8,0.0,2.9000000000000004,45.300000000000004,0
2010-03-12,27.6,65,9.5,0.3,3.1,33.1,0
2010-03-13,28.4,61,10.4,0.0,0.4,29.6,0
2010-03-14,29.1,58,11.3,0.0,0.30000000000000004,26.7,0
2010-03-15,29.7,57,7.7,0.0,0.30000000000000004,15.9,0
2010-03-16,30.3,59,7.6,0.0,0.30000000000000004,15.9,0
2010-03-17,30.4,61,7.6,0.0,0.30000000000000004,12.4,0
2010-03-18,31.2,61,8.7,0.0,0.30000000000000004,3.2,0
2010-03-19,32.0,59,10.6,0.0,0.0,3.1,0
2010-03-20,33.0,59,10.1,0.0,0.0,0.4,0
2010-03-21,32.2,63,11.2,0.2,0.2,0.5,0
2010-03-22,32.6,54,7.3,0.1,0.30000000000000004,0.6000000000000001,0
2010-03-23,34.3,45,14.5,0.0,0.30000000000000004,0.6000000000000001,0
2010-03-24,34.3,44,9.2,0.0,0.30000000000000004,0.6000000000000001,0
2010-03-25,34.8,43,11.0,0.0,0.30000000000000004,0.6000000000000001,0
2010-03-26,32.6,45,17.2,1.0,1.3,1.3,0
2010-03-27,33.0,42,12.4,0.0,1.3,1.3,0
2010-03-28,33.6,42,11.3,0.0,1.1,1.3,0
2010-03-29,33.5,47,16.7,3.1,4.1,4.4,0
2010-03-30,31.0,48,16.8,1.8,5.9,6.2,0
2010-03-31,31.6,45,10.2,0.0,5.9,6.2,0
2010-04-01,31.4,44,13.9,1.7,7.6,7.9,0
2010-04-02,31.6,44,14.9,1.9,8.5,9.8,0
2010-04-03,32.2,40,12.9,0.3,8.8,10.1,0
2010-04-04,32.6,41,15.4,0.0,8.8,9.9,0
2010-04-05,33.0,36,15.2,0.0,5.7,9.799999999999999,0
2010-04-06,33.8,35,18.2,0.0,3.8999999999999995,9.799999999999999,0
2010-04-07,35.6,32,14.1,0.0,3.8999999999999995,9.799999999999999,0
2010-04-08,36.7,34,11.3,0.0,2.1999999999999997,9.799999999999999,0
2010-04-09,37.2,37,15.8,0.9,1.2,9.7,0
2010-04-10,37.0,34,14.1,0.0,0.8999999999999999,9.7,0
2010-04-11,37.7,32,9.7,0.2,1.0999999999999999,9.899999999999999,0
2010-04-12,33.0,40,19.2,1.5,2.5999999999999996,8.299999999999999,0
2010-04-13,36.5,37,16.5,0.0,2.5999999999999996,6.5,0
2010-04-14,38.5,28,15.8,0.0,2.5999999999999996,6.5,0
2010-04-15,39.2,27,11.0,0.0,2.5999999999999996,4.799999999999999,0
2010-04-16,39.9,25,16.8,0.0,1.7,2.8999999999999995,0
2010-04-17,40.2,27,11.5,0.0,1.7,2.5999999999999996,0
2010-04-18,37.6,27,20.5,1.9,3.4,4.5,0
2010-04-19,37.4,34,13.9,0.4,2.3,4.8999999999999995,0
2010-04-20,34.7,42,16.2,2.6,4.9,7.5,0
2010-04-21,32.0,43,16.9,0.4,5.3,7.8999999999999995,0
2010-04-22,31.7,44,12.8,1.6,6.9,9.5,0
2010-04-23,33.6,36,16.3,0.0,6.9,8.6,0
2010-04-24,34.6,35,11.1,0.0,6.9,8.6,0
2010-04-25,36.6,37,13.7,0.0,5.0,8.4,0
2010-04-26,38.5,31,12.5,0.0,4.6,6.9,0
2010-04-27,37.4,31,10.5,0.8,2.8,7.7,0
2010-04-28,36.2,36,18.3,2.7,5.1,10.399999999999999,0
2010-04-29,37.6,36,10.4,0.0,3.5,10.399999999999999,0
2010-04-30,34.7,39,15.1,2.5,6.0,12.899999999999999,0
2010-05-01,34.7,41,9.5,2.5,8.5,15.399999999999999,0
2010-05-02,38.0,39,9.7,0.0,8.5,13.5,0
2010-05-03,39.3,33,8.4,0.0,8.5,13.100000000000001,0
2010-05-04,39.3,35,14.2,2.5,10.2,13.0,0
2010-05-05,32.5,48,12.9,4.3,11.8,16.9,0
2010-05-06,33.4,54,19.2,0.0,11.8,15.299999999999999,0
2010-05-07,32.0,61,11.6,12.3,21.6,27.6,0
2010-05-08,33.2,54,13.5,2.3,21.400000000000002,29.900000000000002,0
2010-05-09,35.1,47,12.4,0.0,21.400000000000002,29.900000000000002,0
2010-05-10,35.7,46,15.9,2.7,24.1,32.6,0
2010-05-11,35.1,43,11.9,0.0,21.6,31.8,0
2010-05-12,37.1,38,10.0,1.1,18.400000000000002,30.200000000000003,0
2010-05-13,36.3,34,11.2,1.5,19.900000000000002,31.700000000000003,0
2010-05-14,36.8,38,10.3,1.0,8.6,30.200000000000003,0
2010-05-15,38.2,32,10.9,0.0,6.300000000000001,27.700000000000003,0
2010-05-16,39.5,31,10.7,0.1,6.4,27.8,0
2010-05-17,37.4,29,16.1,0.8,4.5,28.6,0
2010-05-18,34.4,41,12.3,1.4,5.9,27.5,0
2010-05-19,36.0,38,14.2,0.2,5.0,23.400000000000002,0
2010-05-20,38.6,29,13.0,0.0,3.5,23.400000000000002,0
2010-05-21,40.4,27,7.9,0.0,2.5,11.1,0
2010-05-22,42.0,27,10.2,1.8,4.3,10.600000000000001,0
2010-05-23,40.8,26,14.3,0.0,4.2,10.600000000000001,0
2010-05-24,41.7,27,21.7,0.0,3.4,7.9,0
2010-05-25,43.3,20,19.3,0.0,2.0,7.9,0
2010-05-26,45.1,17,16.8,0.0,1.8,6.800000000000001,0
2010-05-27,44.7,18,14.8,0.2,2.0,5.5,0
2010-05-28,31.0,51,18.1,34.4,36.4,38.9,0
2010-05-29,34.8,47,13.2,0.4,35.0,39.3,0
2010-05-30,37.7,38,9.2,0.0,35.0,39.199999999999996,0
2010-05-31,40.2,39,9.2,0.0,35.0,38.4,0
2010-06-01,40.5,38,9.0,1.2,36.2,38.2,0
2010-06-02,40.7,38,9.9,1.1,37.300000000000004,39.1,0
2010-06-03,38.1,37,10.5,1.1,38.199999999999996,40.199999999999996,0
2010-06-04,37.4,47,18.9,4.4,8.200000000000001,44.6,0
2010-06-05,33.9,42,10.9,0.5,8.3,43.300000000000004,0
2010-06-06,36.9,41,10.0,0.0,8.3,43.300000000000004,0
2010-06-07,36.3,47,17.1,0.4,8.700000000000001,43.7,0
2010-06-08,33.9,54,13.4,3.2,10.700000000000001,46.900000000000006,0
2010-06-09,35.1,49,16.4,1.7,11.300000000000002,48.6,0
2010-06-10,36.2,42,9.0,0.0,10.200000000000001,48.4,0
2010-06-11,38.1,40,9.7,0.0,5.8,14.000000000000002,0
2010-06-12,38.5,39,11.3,1.9,7.2,15.5,0
2010-06-13,38.5,38,14.3,0.9,8.1,16.400000000000002,0
2010-06-14,36.6,47,11.3,4.1,11.799999999999999,20.5,0
2010-06-15,33.4,46,8.7,0.7,9.299999999999999,20.0,0
2010-06-16,35.0,48,10.6,0.4,7.999999999999999,19.3,0
2010-06-17,37.5,40,8.8,0.2,8.2,18.400000000000002,0
2010-06-18,40.8,34,15.9,0.0,8.2,14.0,0
2010-06-19,42.6,28,13.7,0.0,6.299999999999999,13.5,0
2010-06-20,43.9,26,13.0,0.0,5.3999999999999995,13.5,0
2010-06-21,44.2,27,14.1,0.0,1.3,13.1,0
2010-06-22,43.3,27,14.4,1.2,1.8,11.1,0
2010-06-23,41.9,37,17.1,2.9,4.3,12.299999999999999,0
2010-06-24,37.0,48,15.9,2.4,6.5,14.7,0
2010-06-25,35.3,53,12.1,3.0,9.5,17.7,0
2010-06-26,39.5,45,12.1,0.0,9.5,15.8,0
2010-06-27,40.6,43,10.8,0.1,9.6,15.0,0
2010-06-28,39.8,46,11.8,0.2,9.799999999999999,11.1,0
2010-06-29,37.9,41,19.1,0.2,8.8,10.600000000000001,0
2010-06-30,36.7,50,7.6,1.5,7.4,11.7,0
2010-07-01,39.0,50,15.1,1.2,6.199999999999999,12.7,0
2010-07-02,35.3,60,8.9,4.2,7.4,16.9,0
2010-07-03,39.0,48,11.3,0.0,7.3999999999999995,16.9,0
2010-07-04,37.7,55,17.1,9.9,17.2,26.8,0
2010-07-05,35.6,71,12.6,16.0,33.0,42.8,0
2010-07-06,34.2,64,12.6,2.7,35.5,44.3,0
2010-07-07,34.5,62,13.4,0.0,34.0,41.4,0
2010-07-08,37.6,57,7.1,0.1,32.9,39.1,0
2010-07-09,39.6,51,11.3,1.3,30.0,37.4,0
2010-07-10,38.8,51,10.0,1.6,31.599999999999998,39.0,0
2010-07-11,38.7,51,12.3,2.2,23.9,41.1,0
2010-07-12,32.2,73,18.0,15.5,23.4,56.400000000000006,0
2010-07-13,32.1,78,9.0,5.5,26.2,61.7,0
2010-07-14,35.6,63,11.0,0.0,26.2,60.2,0
2010-07-15,37.8,54,15.4,0.0,26.099999999999998,59.00000000000001,0
2010-07-16,38.8,54,9.2,0.0,24.799999999999997,54.800000000000004,0
2010-07-17,37.2,58,16.3,0.2,23.4,55.0,0
2010-07-18,34.3,73,7.9,10.6,31.799999999999997,55.699999999999996,0
2010-07-19,34.3,75,12.6,22.3,38.599999999999994,62.0,0
2010-07-20,28.9,88,15.6,21.3,54.39999999999999,80.6,0
2010-07-21,27.8,88,15.9,111.6,166.0,192.2,0
2010-07-22,24.3,87,13.0,228.7,394.7,420.79999999999995,1
2010-07-23,32.8,73,9.4,1.3,396.0,420.79999999999995,1
2010-07-24,34.2,73,9.5,0.0,395.8,419.19999999999993,1
2010-07-25,33.7,78,8.1,1.0,386.2,417.99999999999994,1
2010-07-26,33.4,81,10.5,8.3,372.2,410.79999999999995,1
2010-07-27,29.3,85,18.2,17.0,367.90000000000003,422.29999999999995,1
2010-07-28,27.3,82,14.8,27.7,284.0,449.99999999999994,1
2010-07-29,29.3,87,10.7,24.2,79.5,474.19999999999993,0
2010-07-30,32.1,82,8.4,12.1,90.3,486.29999999999995,0
2010-07-31,33.1,83,12.7,15.9,106.2,502.0,0
2010-08-01,31.1,82,10.7,2.2,107.4,493.59999999999997,0
2010-08-02,32.7,77,6.0,2.9,101.99999999999999,474.2,0
2010-08-03,31.7,82,6.4,15.3,100.30000000000001,468.2,0
2010-08-04,33.1,77,10.5,2.5,75.10000000000001,359.1,0
2010-08-05,32.8,83,9.2,15.3,66.2,145.7,0
2010-08-06,26.0,92,19.6,56.6,110.7,201.0,0
2010-08-07,28.6,89,5.4,16.2,111.00000000000001,217.2,0
2010-08-08,29.2,82,7.1,11.4,120.2,227.6,0
2010-08-09,32.7,77,9.1,0.0,117.3,219.3,0
2010-08-10,32.0,81,11.7,5.0,107.0,207.3,0
2010-08-11,33.5,85,11.9,3.2,107.7,182.79999999999998,0
2010-08-12,28.3,91,16.1,2.5,94.9,161.1,0
2010-08-13,30.3,87,8.5,12.5,50.8,161.5,0
2010-08-14,30.5,88,8.7,5.3,39.9,150.9,0
2010-08-15,31.5,87,8.1,22.6,51.1,171.3,0
2010-08-16,30.7,85,10.8,7.1,58.2,175.5,0
2010-08-17,32.1,83,7.9,5.4,58.6,165.6,0
2010-08-18,32.8,83,10.0,3.4,58.800000000000004,166.5,0
2010-08-19,31.0,88,8.7,6.6,62.900000000000006,157.8,0
2010-08-20,31.3,87,11.3,14.0,64.4,115.19999999999999,0
2010-08-21,31.1,84,7.1,5.8,64.9,104.80000000000001,0
2010-08-22,30.5,86,5.2,8.1,50.4,101.5,0
2010-08-23,30.7,86,9.4,1.7,45.0,103.2,0
